Name,City,State,acceptance_rate,Enrollment,Type,Lat,Long
Interdenominational Theological Center,Atlanta,GA,nan,nan,Private,33.754222,-84.409469
J.F. Drake State Technical College,Huntsville,AL,100.00,546,Public,34.7717663,-86.573315
Jackson State University,Jackson,MS,70.47,5959,Public,32.2968847,-90.2063965
Jarvis Christian College,Hawkins,TX,100.00,701,Private,32.5891917,-95.1797935
Johnson C. Smith University,Charlotte,NC,42.25,1318,Private,35.2427192,-80.8562124
Kentucky State University,Frankfort,KY,47.69,1397,Public,None,None
Lane College,Jackson,TN,43.27,1249,Private,35.627775,-88.8061133
Langston University,Langston,OK,100.00,1851,Public,35.9459622,-97.262907
Lawson State Community College - Birmingham,Birmingham,AL,100.00,1773,Public,33.4506233,-86.8891388
LeMoyne-Owen College,Memphis,TN,52.15,892,Private,35.1180562,-90.0344386
Lincoln University - Missouri,Jefferson City,MO,100.00,2032,Public,38.563097,-92.17123
Lincoln University of Pennsylvania,Lower Oxford Township,PA,27.16,1428,Public,39.8075,-75.927273
Livingstone College,Salisbury,NC,64.25,1293,Private,35.671441,-80.484675
Meharry Medical College,Nashville,TN,NA,nan,Private,36.1670761,-86.8069451
Miles College,Fairfield,AL,100.00,1713,Private,33.480831,-86.908268
Mississippi Valley State University,Itta Bena,MS,16.33,1652,Public,33.512823,-90.341736
Morehouse College,Atlanta,GA,84.03,2003,Private,33.742784,-84.411958
Morehouse School of Medicine,Atlanta,GA,nan,nan,Private,33.743087,-84.412001
Morgan State University,Baltimore,MD,65.25,5544,Public,39.3437959,-76.5843847
Morris College,Sumter,SC,100.00,770,Private,33.938031,-80.347003
Norfolk State University,Norfolk,VA,65.67,4416,Public,36.8480161,-76.262085
North Carolina A&T State University,Greensboro,NC,57.00,8423,Public,36.0741294,-79.7748384
North Carolina Central University,Durham,NC,43.22,5035,Public,35.972982,-78.8962889
Oakwood University,Huntsville,AL,47.87,1750,Private,34.751841,-86.655845
Paine College,Augusta,GA,21.81,783,Private,33.4695551,-81.9932536
Paul Quinn College,Dallas,TX,89.97,260,Private,32.6804373,-96.7558489
Philander Smith College,Little Rock,AR,100.00,521,Private,34.7371492,-92.2829693
Prairie View A & M University,Prairie View,TX,39.13,6313,Public,30.093908,-95.9898
Rust College,Holly Springs,MS,38.85,908,Private,34.7764601,-89.4476005
Saint Augustine's University,Raleigh,NC,74.03,1001,Private,35.7876962,-78.6188766
Savannah State University,Savannah,GA,77.63,4196,Public,32.0245213,-81.0626367
Selma University,Selma,AL,100.00,419,Private,32.4204999,-87.0348999
Shaw University,Raleigh,NC,59.35,1519,Private,35.771187,-78.6377146
Shelton State Community College,Tuscaloosa,AL,100.00,2307,Public,33.120633,-87.561464
Shorter College,North Little Rock,AR,100.00,313,Private,34.7592275,-92.2604236
Simmons College - Kentucky,Louisville,KY,100.00,121,Private,38.2394955,-85.7648298
South Carolina State University,Orangeburg,SC,84.54,2581,Public,33.4983441,-80.8501492
Southern University & A&M College,Baton Rouge,LA,53.65,4446,Public,30.5267645,-91.1935768
Southern University at New Orleans,New Orleans,LA,20.70,1189,Public,30.0259133,-90.0449055
Southern University at Shreveport,Shreveport,LA,100.00,2046,Public,32.544248,-93.8346073
Southwestern Christian College,Terrell,TX,100.00,153,Private,32.7353423,-96.2857321
Spelman College,Atlanta,GA,54.00,2072,Private,33.7463597,-84.4122934
St. Philip's College,San Antonio,TX,100.00,1622,Public,29.4140863,-98.4548203
Stillman College,Tuscaloosa,AL,59.01,944,Private,33.1982647,-87.5859218
Talladega College,Talladega,AL,100.00,752,Private,33.4327519,-86.1135613
Tennessee State University,Nashville,TN,100.00,5678,Public,36.1668224,-86.8275815
Texas College,Tyler,TX,100.00,778,Private,32.374895,-95.312516
Texas Southern University,Houston,TX,51.92,5842,Public,29.7217625,-95.3606121
Tougaloo College,Jackson,MS,40.30,872,Private,32.4048131,-90.1607274
Tuskegee University,Tuskegee,AL,49.22,2489,Private,32.430678,-85.7072853
University of Arkansas at Pine Bluff,Pine Bluff,AR,38.68,2188,Public,34.2468716,-92.0213392
University of Maryland Eastern Shore,Princess Anne,MD,61.27,3192,Public,38.2178752,-75.6910982
University of the District of Columbia,Washington,DC,100.00,1902,Public,38.944677,-77.0656299
Virginia State University,Petersburg,VA,80.06,4284,Public,37.2384613,-77.4198721
Virginia Union University,Richmond,VA,23.89,1286,Private,37.5625916,-77.4514696
Virginia University of Lynchburg,Lynchburg,VA,100.00,134,Private,37.3952218,-79.1515722
Voorhees College,Denmark,SC,50.04,452,Private,33.3072977,-81.1300088
West Virginia State University,Dunbar,WV,41.44,1950,Public,38.3789586,-81.7665882
Wilberforce University,Wilberforce,OH,37.54,348,Private,39.710638,-83.878929
Wiley College,Marshall,TX,100.00,1259,Private,32.5384868,-94.3751871
Winston-Salem State University,Winston-Salem,NC,60.16,4098,Public,36.089874,-80.2251168
Xavier University of Louisiana,New Orleans,LA,65.99,2237,Private,29.963863,-90.107084
